Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCL06,OUT046,3170.77263
FDI35,OUT013,3436.6265699999994
NCW42,OUT045,3027.79208
NCX06,OUT049,3297.9071400000003
FDC37,OUT027,2448.7125300000002
FDZ14,OUT018,1991.8405699999996
DRG49,OUT049,2746.05881
NCG06,OUT045,3096.60251
DRC36,OUT045,1724.38871
FDV21,OUT019,319.88361
FDB53,OUT046,2109.98678
DRP47,OUT019,553.74586
FDA14,OUT013,2225.60295
DRC24,OUT035,2054.2260300000003
FDW21,OUT018,1622.15512
NCH29,OUT046,2146.3727500000005
FDU58,OUT013,2669.5583899999992
FDY27,OUT017,2847.65989
FDV56,OUT035,1844.16613
FDT59,OUT046,3738.6001599999995
FDB23,OUT046,3241.1809799999996
FDR49,OUT045,1210.7573
FDB03,OUT010,423.31564
FDN39,OUT045,2738.96804
FDX02,OUT027,4376.6363
FDQ16,OUT027,2567.45796
FDU35,OUT018,2124.9339899999995
NCT29,OUT013,1623.2869799999999
FDZ27,OUT046,1578.97799
FDN57,OUT017,2459.03243
FDA03,OUT018,1991.8405699999998
FDZ36,OUT045,2761.5719500000005
NCU05,OUT013,1408.03384
FDT39,OUT018,2337.79025
FDK60,OUT017,1584.53742
FDZ25,OUT017,2780.84686
FDG12,OUT046,2350.7733500000004
DRB01,OUT019,342.98687000000007
NCC43,OUT027,5763.73073
FDX13,OUT019,480.00851
FDM22,OUT049,1363.8580100000001
FDJ03,OUT027,3619.9546
FDU14,OUT018,2557.03819
FDB33,OUT010,312.29348999999996
FDP27,OUT046,2836.4744499999997
FDO38,OUT010,218.51556
FDE28,OUT027,4539.158079999999
FDO27,OUT035,2932.3496500000006
DRL23,OUT027,2551.8449499999997
FDS28,OUT046,1917.8036100000002
FDX24,OUT013,1936.3794299999997
FDZ02,OUT035,2306.3312
FDL46,OUT045,1762.4724699999995
FDS60,OUT027,2971.1324999999997
NCO06,OUT017,1025.0656799999997
FDO16,OUT035,1904.12142
FDC60,OUT049,2168.94337
FDA48,OUT018,1911.8779900000002
FDZ36,OUT027,4212.35015
FDK27,OUT045,1995.76879
FDW23,OUT018,1654.9790600000001
FDM14,OUT018,1459.3670199999997
FDM14,OUT013,2315.71898
FDW60,OUT018,2067.20913
FDE21,OUT013,2056.4231699999996
NCM42,OUT035,2012.9131399999999
FDY59,OUT010,264.18944
DRI49,OUT049,2171.44012
FDT28,OUT019,287.22612000000004
FDQ22,OUT018,1788.8714400000001
FDR60,OUT049,1322.3786699999998
FDC50,OUT019,334.29817999999995
FDV24,OUT013,2243.4130999999998
DRF48,OUT010,357.43473000000006
FDQ47,OUT046,1957.08581
DRN36,OUT049,1670.92497
NCY06,OUT035,2893.5667999999996
FDE52,OUT035,2347.2113199999994
NCB54,OUT045,2157.9909599999996
NCF31,OUT035,2599.31649
FDJ08,OUT027,4817.762089999999
NCC07,OUT017,2067.0759700000003
NCD19,OUT027,1919.80101
FDL46,OUT049,2282.6953000000003
FDM20,OUT045,2901.2567900000004
NCI06,OUT010,425.7125199999999
DRM11,OUT035,2775.12098
NCH07,OUT018,2062.3487900000005
FDS23,OUT013,2445.9494600000007
FDO49,OUT018,732.7794799999999
FDS35,OUT049,1848.02777
DRK39,OUT045,1382.46712
DRI39,OUT049,1878.6212799999998
FDV04,OUT017,2462.96065
NCN14,OUT035,2601.51363
FDH08,OUT013,3040.34241
FDS20,OUT046,2735.6723300000003
FDV40,OUT049,1621.12313
FDZ48,OUT010,307.5996
FDS24,OUT027,3597.9499099999994
FDK44,OUT049,2852.15404
FDS48,OUT045,2071.93631
FDK26,OUT010,348.14682
FDD23,OUT045,2567.22493
NCH54,OUT017,2418.45192
NCP14,OUT010,258.16395
FDM60,OUT010,213.42219
FDV24,OUT017,2096.03827
FDH08,OUT018,2413.59158
FDS12,OUT027,2489.9255500000004
FDR39,OUT027,3707.5073
FDP12,OUT027,3597.9499099999994
DRF60,OUT027,3308.26033
FDC09,OUT035,1765.7016000000003
FDF50,OUT018,2426.5081
FDG28,OUT035,3374.6738799999994
NCE19,OUT017,1108.8566099999998
NCM53,OUT010,397.81550000000004
NCN18,OUT049,2694.4593099999997
FDF32,OUT035,2580.6740899999995
FDF11,OUT013,2847.06067
DRI59,OUT049,2401.5406000000003
NCG54,OUT035,2901.1569200000004
FDM44,OUT046,1919.1019199999998
FDT57,OUT018,2779.18236
FDV24,OUT046,1805.15025
FDI50,OUT019,411.26466
FDS09,OUT035,1606.7085600000003
NCC31,OUT027,3502.9735400000004
FDQ07,OUT019,324.17802
FDC22,OUT017,2813.53764
FDZ56,OUT046,2087.9488
FDZ40,OUT019,260.56082999999995
FDS46,OUT027,3272.8397699999996
DRD24,OUT045,2153.7631300000003
FDV45,OUT017,2751.98443
FDL26,OUT045,2726.9503500000005
FDA56,OUT018,1913.2761700000003
FDN27,OUT046,1847.19552
FDM20,OUT049,2778.51656
FDO16,OUT017,1447.61565
FDL03,OUT035,2993.66983
FDE58,OUT046,2496.9497399999996
FDI02,OUT027,3198.10372
NCC55,OUT019,272.67839
FDR03,OUT018,2436.828
FDB14,OUT017,2180.39513
FDR45,OUT013,3652.6453799999995
NCN07,OUT017,1960.34823
FDM51,OUT019,388.52759000000003
FDT52,OUT027,4605.17215
FDL26,OUT046,2199.86978
NCZ42,OUT046,2393.15152
DRI47,OUT019,294.8828199999999
FDW40,OUT013,2446.4155200000005
FDN34,OUT046,2578.44366
FDS01,OUT035,2616.79374
NCG55,OUT045,2344.2818
FDC11,OUT035,2009.6840099999997
FDX35,OUT018,2730.01303
NCB06,OUT046,2544.58773
FDR09,OUT019,360.96347
FDC53,OUT017,1323.2775
FDY45,OUT013,3251.50088
FDA22,OUT010,402.67584
FDE02,OUT035,1851.3900599999997
FDW21,OUT045,1589.4976299999998
FDV34,OUT046,1627.881
FDS59,OUT049,2236.28904
NCW17,OUT017,1978.9906299999998
NCK54,OUT046,2201.76731
FDG17,OUT019,339.29168
FDG35,OUT017,2619.9895800000004
FDD08,OUT010,275.44146
NCO07,OUT017,2900.1915099999997
FDJ10,OUT010,361.8623
FDW36,OUT017,1771.4274799999998
FDW21,OUT010,224.17486
FDY19,OUT017,2068.3409899999997
DRE03,OUT013,1797.1606500000003
NCC55,OUT049,1716.3658199999998
FDH52,OUT010,275.07527000000005
FDO09,OUT017,3900.4894300000005
FDU43,OUT045,3919.5646
FDX09,OUT010,415.02643
FDH40,OUT019,283.09816000000006
FDW58,OUT017,1687.6365500000004
FDC47,OUT017,3600.946010000001
NCR41,OUT035,1532.5051500000002
DRG49,OUT035,2300.47216
FDC52,OUT027,4162.914500000001
FDY13,OUT046,1807.2142300000003
FDY35,OUT013,1233.2280500000002
FDI35,OUT017,2728.4484
NCU18,OUT049,3137.3161800000003
FDY33,OUT018,2089.1139500000004
FDC15,OUT027,4106.85414
FDU01,OUT049,2674.58518
NCU42,OUT046,2346.21262
NCV29,OUT018,1902.3237599999998
NCY30,OUT017,2854.05157
FDQ46,OUT049,2479.87197
FDG58,OUT027,3742.961149999999
FDK33,OUT017,3193.80931
NCD07,OUT045,1684.70703
NCX29,OUT027,3859.675890000001
NCT42,OUT013,2586.36668
DRN59,OUT035,1886.0116600000001
FDI44,OUT035,1750.5879400000001
FDA45,OUT049,2598.5508199999995
FDP31,OUT045,1189.05222
FDY01,OUT046,2023.0998799999998
FDT09,OUT018,1720.9598400000002
DRH03,OUT027,3918.7323499999998
FDA36,OUT018,1922.5307900000003
NCF31,OUT017,2401.0745399999996
FDG14,OUT049,2455.33724
FDG28,OUT027,4605.17215
FDU14,OUT049,3139.9460900000004
FDY47,OUT019,295.74836000000005
FDI56,OUT049,1597.95329
DRD01,OUT013,1441.8231899999998
FDM22,OUT046,1578.6783799999998
FDH33,OUT013,2035.2174399999997
DRZ24,OUT013,2402.2729799999997
NCQ38,OUT046,2019.93733
FDO16,OUT027,2567.45796
FDU07,OUT027,4222.13741
NCB07,OUT013,2840.56912
FDU48,OUT045,1869.5996900000002
NCM43,OUT045,2420.98196
FDR31,OUT010,272.04587999999995
DRK49,OUT018,1546.8531400000002
NCI30,OUT010,465.16117
DRD60,OUT017,2773.057
NCG19,OUT046,2818.96391
FDH12,OUT035,1859.4795300000005
FDM32,OUT035,2140.97977
FDM27,OUT035,2914.5727900000006
NCU53,OUT027,4250.73352
NCQ18,OUT046,1939.4754
FDS10,OUT013,3058.0526899999995
FDB33,OUT027,4818.09499
FDI12,OUT013,1730.64723
NCW42,OUT013,3187.9169800000004
NCC06,OUT018,1436.29705
FDW02,OUT017,1798.29251
NCD43,OUT017,1625.7504400000003
FDM57,OUT018,1307.49804
FDA58,OUT017,3804.1148799999996
FDK56,OUT046,2774.62163
FDP52,OUT045,3205.1611999999996
FDW20,OUT018,1838.5401200000003
FDS52,OUT049,1840.2379099999998
NCT29,OUT018,1365.68896
NCL54,OUT013,2927.35615
FDC05,OUT045,2862.24091
FDF34,OUT035,2879.45184
FDP03,OUT027,3560.0326
FDD32,OUT010,228.26952999999997
FDZ10,OUT045,1896.8642
FDZ40,OUT035,1535.46796
FDD51,OUT018,1922.36434
NCY30,OUT019,371.94917
FDP58,OUT017,2642.3271700000005
FDV49,OUT017,3847.55833
FDY24,OUT019,256.49945
NCO55,OUT017,1746.8927500000002
FDR13,OUT017,1927.4910000000004
FDS51,OUT017,1661.00455
FDP26,OUT045,1698.3559300000002
NCB54,OUT027,3465.8884800000005
FDF32,OUT017,3356.9303099999997
FDN31,OUT018,2428.87169
DRM48,OUT017,1194.57836
FDN20,OUT049,2660.4036399999995
DRL01,OUT046,3291.58204
FDV56,OUT049,2449.4781999999996
DRH13,OUT027,2981.71872
FDA03,OUT017,2143.5763900000006
FDF47,OUT027,5050.1595800000005
FDX32,OUT046,2545.18695
FDX57,OUT049,1546.18734
NCA30,OUT045,2360.69377
FDO49,OUT013,1413.79301
FDL04,OUT019,288.62430000000006
DRM48,OUT035,1895.89879
FDR16,OUT013,2316.81755
NCC19,OUT018,2277.036
NCE42,OUT045,2997.49818
FDY24,OUT017,1402.4078299999999
FDH19,OUT049,2186.2874599999996
FDJ46,OUT013,2927.68905
FDN45,OUT010,461.36610999999994
FDY08,OUT035,2064.4460599999998
FDZ37,OUT035,2519.98642
NCT30,OUT045,2012.08089
DRY23,OUT018,900.9938500000001
NCZ30,OUT018,1947.23197
FDC44,OUT018,1733.7432000000001
FDB45,OUT035,2358.39676
FDY04,OUT013,2581.90582
FDM27,OUT046,2394.05035
FDZ43,OUT017,3932.248090000001
FDT39,OUT019,382.93487
NCC06,OUT019,334.39804999999996
FDL15,OUT027,3619.2222199999997
FDL57,OUT017,4041.6057400000004
FDU08,OUT046,2159.62217
FDK40,OUT017,3656.3405700000003
FDQ12,OUT010,423.91486000000003
FDS48,OUT017,2056.7227800000005
FDP09,OUT045,2877.82063
FDW21,OUT049,1386.72824
FDY25,OUT035,2641.7612400000003
DRE13,OUT017,1595.55641
FDV43,OUT019,246.74548
FDD22,OUT045,1697.05762
FDM46,OUT019,319.88361000000003
NCO30,OUT010,391.02434
FDM25,OUT046,2582.9378100000004
NCN41,OUT049,2371.5796
FDU24,OUT045,1586.9010099999998
FDZ50,OUT046,2167.47861
FDP45,OUT013,3032.5525500000003
NCM54,OUT045,2246.6422300000004
FDW10,OUT019,368.72004
FDP20,OUT017,2306.7306799999997
FDK32,OUT046,2614.19712
FDN52,OUT049,2118.74205
FDM58,OUT045,2099.2341099999994
FDZ46,OUT027,3229.99554
NCA18,OUT018,1910.0470400000002
FDD35,OUT046,2279.8989400000005
NCK31,OUT035,1446.1841800000002
FDI40,OUT027,3173.00306
FDT50,OUT019,250.17435
NCT06,OUT046,2461.3294400000004
FDT31,OUT035,2596.9528999999998
FDT45,OUT049,2172.2723699999997
FDT13,OUT045,3654.1767199999995
FDO50,OUT045,1635.50441
NCU18,OUT010,396.75022
NCR54,OUT049,3524.67862
NCO18,OUT018,2141.8453099999997
FDU09,OUT045,1024.7327799999998
FDT13,OUT018,2081.5238299999996
FDE09,OUT046,2262.12208
NCK53,OUT019,376.8428
FDG45,OUT049,2626.7474500000003
DRH15,OUT035,1967.2059700000002
FDO21,OUT019,302.70597
FDD14,OUT027,4224.80061
FDC09,OUT046,2181.79331
FDH45,OUT027,2821.09447
FDV32,OUT046,2100.83203
FDG12,OUT035,1859.6126900000004
FDS32,OUT013,2285.89114
NCL55,OUT018,2044.73838
DRE01,OUT035,2300.47216
DRE15,OUT049,1793.3322999999996
NCL42,OUT045,3061.9143299999996
FDP31,OUT013,1906.2186899999997
FDN33,OUT018,1496.4520799999996
FDZ59,OUT046,2312.45656
FDE45,OUT010,313.65838
FDJ07,OUT013,1758.1780600000002
FDQ45,OUT018,2080.4918399999997
FDM33,OUT027,5784.90317
FDO15,OUT010,351.74214
FDM46,OUT013,2470.4509000000003
FDR03,OUT045,3067.27402
FDY49,OUT018,2120.5064199999997
FDQ60,OUT045,2164.34935
FDW10,OUT049,2564.6948899999998
FDO51,OUT049,2525.44598
FDJ40,OUT018,1384.2980700000003
FDS20,OUT018,2194.90957
FDU45,OUT013,2136.5189100000002
FDV02,OUT035,2910.37825
FDN09,OUT046,2934.94627
NCM55,OUT027,3568.7545800000007
FDN23,OUT018,2207.82609
FDY31,OUT010,306.96709
FDW03,OUT010,394.85269
FDD14,OUT046,2473.4802900000004
FDV23,OUT017,1944.10271
DRI03,OUT045,2845.8622299999997
FDN13,OUT035,1873.29488
FDF45,OUT027,2831.34779
FDU46,OUT035,1539.72908
FDB57,OUT049,3217.8114
FDV12,OUT049,2060.85074
FDQ58,OUT013,2796.6929
NCA18,OUT017,1768.99731
FDH52,OUT049,1909.11492
FDM24,OUT018,1894.2342899999999
NCP43,OUT027,3975.4918
NCO18,OUT019,335.03056000000004
FDM32,OUT017,2458.2001800000003
NCL07,OUT017,1418.2871599999999
FDK03,OUT013,2205.7954
FDP59,OUT017,2131.8250199999998
FDQ24,OUT049,2370.68077
FDQ16,OUT018,2169.94207
FDU44,OUT013,2827.55273
FDH28,OUT010,287.69217999999995
FDV28,OUT019,265.6542
FDM22,OUT045,1002.3951899999998
FDR56,OUT046,2895.131429999999
FDV39,OUT049,2377.1723200000006
FDU37,OUT019,303.30519
FDQ11,OUT010,506.2743200000001
FDX02,OUT045,3881.7471600000003
NCS42,OUT018,1742.1322800000003
FDY57,OUT027,2437.8932799999993
FDB21,OUT049,2500.9445399999995
FDE28,OUT017,3127.4956300000003
FDQ55,OUT017,1996.8673600000002
FDA48,OUT049,2263.35381
FDZ19,OUT045,2637.9328899999996
NCC43,OUT045,3709.73773
NCV18,OUT046,1811.10916
NCA42,OUT018,2175.7012400000003
FDY45,OUT046,2740.46609
NCC30,OUT045,3071.2688200000002
FDM57,OUT013,1703.38272
FDL09,OUT010,256.6659
FDB09,OUT027,3644.45604
FDT44,OUT035,2144.97457
NCT06,OUT027,3805.3799
FDX26,OUT049,2893.4003500000003
FDK32,OUT013,2618.5914
DRA12,OUT046,1866.8366200000005
FDO46,OUT010,271.67969000000005
FDE52,OUT013,1878.78773
NCH42,OUT045,3839.26912
FDV08,OUT035,1947.69803
FDB47,OUT018,2785.34101
FDC28,OUT010,345.58349
FDD22,OUT046,2093.6746799999996
FDS07,OUT027,3400.2738899999995
DRI13,OUT045,2698.4208200000003
FDG32,OUT018,2505.97133
FDU14,OUT017,3993.102210000001
FDD28,OUT019,264.3226
NCP41,OUT017,1796.92762
FDS08,OUT049,1770.2290400000002
FDX47,OUT045,2487.2290599999997
FDC53,OUT019,291.72027
FDQ19,OUT035,2371.51302
FDL14,OUT045,2543.4558700000002
FDM33,OUT019,411.39782
FDA51,OUT045,1566.09476
FDZ27,OUT018,1852.8881100000003
FDT04,OUT046,1313.15734
DRC13,OUT049,2303.4349700000002
FDR16,OUT027,4519.01763
FDQ03,OUT027,3831.8121600000004
FDE38,OUT035,2187.88538
DRH23,OUT027,2219.37772
FDT11,OUT019,416.42461000000003
FDD09,OUT035,2641.7612400000003
FDR40,OUT045,1194.47849
FDX07,OUT017,3586.2984099999994
FDR07,OUT035,2144.97457
FDA51,OUT017,1655.7114400000003
FDT59,OUT019,464.52866000000006
FDF20,OUT017,3110.9837899999993
FDR13,OUT045,1904.32116
FDY26,OUT049,2498.7474
FDW04,OUT017,1963.6772300000005
FDK52,OUT017,3523.2138600000008
FDN60,OUT049,2239.4183000000003
FDM09,OUT019,293.35148
FDP46,OUT049,2248.80608
FDB50,OUT019,383.1679
NCQ29,OUT049,2677.08193
FDP16,OUT027,4383.66049
FDX33,OUT018,1976.92665
FDP07,OUT010,316.3881600000001
FDN22,OUT046,2932.8489999999997
FDF39,OUT049,2513.46158
FDS21,OUT017,1640.89739
NCM42,OUT013,1884.9796700000002
FDK50,OUT019,429.7739
DRF13,OUT027,3308.72639
FDH35,OUT018,2217.38032
FDP60,OUT018,1664.6331599999999
DRJ49,OUT027,3167.57679
NCT42,OUT019,332.13433
FDE38,OUT049,2183.0583300000003
FDI04,OUT049,3318.4470699999997
NCH54,OUT045,3134.2202100000004
FDT56,OUT049,2124.0351600000004
DRD15,OUT018,2695.92407
FDV58,OUT013,2895.2978799999996
FDP21,OUT049,2390.6214800000002
FDH05,OUT013,2701.61666
FDR10,OUT027,3934.1456200000002
NCP06,OUT045,2464.49199
FDF33,OUT049,1578.0125799999998
DRK37,OUT013,2741.1984700000003
DRH49,OUT045,1537.23233
FDT58,OUT013,2999.69532
FDD41,OUT018,1486.53166
FDP40,OUT018,1703.68233
FDM51,OUT027,3489.7241200000003
FDO45,OUT010,231.43208000000004
FDW33,OUT010,430.07351
FDY24,OUT045,1354.70326
FDB10,OUT010,448.38301
FDM40,OUT035,2137.5841900000005
NCI06,OUT017,3205.7604200000005
FDW12,OUT019,344.8844
FDX48,OUT027,3955.8839900000007
NCW05,OUT027,3186.25248
FDX27,OUT017,1869.9991699999998
DRM37,OUT045,2825.25572
FDA38,OUT045,2958.41572
FDR36,OUT046,1925.1274099999998
FDZ45,OUT046,2906.68306
FDG05,OUT017,2680.24448
FDK28,OUT013,2958.5155900000004
FDV47,OUT045,1576.91401
FDN21,OUT045,2462.26156
FDP20,OUT027,3830.41398
FDI35,OUT045,2766.0661
DRY23,OUT013,1195.7768000000003
FDA56,OUT017,1860.5448099999999
FDB09,OUT013,1930.1209099999996
NCO26,OUT027,3067.57363
FDQ49,OUT018,2013.91184
FDI52,OUT027,2831.6474000000003
FDZ44,OUT027,3478.00604
FDZ09,OUT018,2681.2764700000002
FDY03,OUT049,2594.9222100000006
NCG42,OUT017,2312.3234
DRI13,OUT027,3308.72639
FDQ32,OUT013,2092.7092700000003
FDW16,OUT035,2153.0307500000004
FDU27,OUT046,1792.40018
FDR28,OUT010,309.69687
FDQ49,OUT010,337.8935
FDS37,OUT046,2123.2694899999997
FDW26,OUT018,1991.8405700000003
FDX12,OUT018,2343.6492900000003
NCP06,OUT013,2280.29842
FDW45,OUT010,480.60773
NCN30,OUT049,2190.3821300000004
FDN24,OUT049,1837.0087800000006
NCL41,OUT027,2510.66522
FDR02,OUT019,361.22979
FDD09,OUT010,312.29348999999996
FDS33,OUT010,224.17486
FDU22,OUT045,1960.54797
FDI53,OUT013,2215.3163400000003
DRH01,OUT049,2621.3211800000004
FDX32,OUT013,2351.37257
NCP30,OUT018,1130.6282699999997
FDB60,OUT045,2755.7129099999997
FDB14,OUT049,2427.3736400000003
NCP02,OUT035,1912.2774700000002
FDJ10,OUT017,2087.6159
FDG34,OUT046,1858.5141199999998
NCB18,OUT017,1563.09866
FDM16,OUT049,2118.74205
FDW25,OUT018,1704.8807700000002
FDB35,OUT010,164.95195
DRN11,OUT013,2323.4755499999997
FDF41,OUT019,361.99546
FDH16,OUT045,1235.55835
NCQ50,OUT018,2689.5989699999996
DRH23,OUT018,1569.7899499999999
DRJ37,OUT013,2899.4258399999994
DRJ24,OUT027,3308.26033
FDY16,OUT035,2944.4006299999996
FDQ27,OUT045,2197.10671
FDZ33,OUT045,2204.73012
FDF29,OUT045,2616.2278099999994
FDA08,OUT049,3290.7497899999994
FDG31,OUT046,1539.69579
FDE34,OUT019,436.4984799999999
NCR30,OUT027,1937.61116
FDV33,OUT035,2909.11323
DRZ24,OUT018,1930.3872299999998
NCL54,OUT035,3154.92659
FDR12,OUT049,2719.99274
NCC54,OUT046,2868.53272
DRN59,OUT013,2165.5477899999996
FDX50,OUT019,361.22979
FDV31,OUT027,5039.73981
NCA29,OUT027,4174.6325799999995
FDW60,OUT049,2421.3481500000003
FDX08,OUT017,2773.7893799999997
DRD49,OUT013,2987.2781499999996
FDD33,OUT046,2862.1743300000007
FDW35,OUT013,1161.6212600000001
FDJ36,OUT017,1598.55251
FDV51,OUT035,2380.60119
FDW36,OUT046,1580.5093299999999
FDH35,OUT046,2610.86812
NCS30,OUT027,3355.5654200000004
FDN49,OUT017,1745.19496
FDL08,OUT018,2844.2976000000003
FDI09,OUT013,3627.2118199999995
FDP19,OUT018,1703.4492999999998
FDU21,OUT010,212.32361999999998
NCP41,OUT045,1878.2218
FDY10,OUT013,2668.4931100000003
FDP12,OUT018,1878.32167
NCN26,OUT049,2657.77373
FDK44,OUT013,2810.6746999999996
FDC28,OUT049,1868.66757
FDJ41,OUT027,4383.66049
NCT29,OUT035,2181.79331
NCH42,OUT019,421.9840400000001
FDU60,OUT018,2206.39462
FDS02,OUT045,3093.77286
FDC51,OUT046,2013.8119699999995
FDU03,OUT013,2453.23997
FDX39,OUT045,3193.7094399999996
NCY05,OUT010,299.84303000000006
NCL06,OUT027,5763.73073
FDD32,OUT035,1891.33806
NCN41,OUT045,1840.1047500000004
NCX53,OUT049,2306.6973899999994
FDU57,OUT019,298.91090999999994
FDQ23,OUT046,2723.65464
FDQ52,OUT045,3732.67454
FDC14,OUT045,1666.5972700000002
FDY09,OUT035,3266.3482200000003
FDQ28,OUT045,2635.96878
FDV25,OUT046,3435.39484
FDJ07,OUT035,2073.5009400000004
DRB25,OUT049,2451.8084999999996
FDK52,OUT019,332.66696999999994
FDY52,OUT027,2567.4579599999997
FDB28,OUT046,2489.4262000000003
FDT36,OUT035,1641.4966100000001
FDV25,OUT017,3109.48574
NCN07,OUT027,3327.5685299999996
FDC57,OUT017,3609.4349599999996
FDQ03,OUT018,2298.9075300000004
FDU23,OUT017,2434.09822
NCX41,OUT035,3081.8883299999998
NCD06,OUT035,1699.48779
FDW08,OUT045,2266.88255
NCU29,OUT017,1827.4212600000003
NCE06,OUT013,2772.22475
FDV52,OUT010,285.09556000000003
FDB02,OUT017,2877.85392
NCR18,OUT045,1326.24031
FDK16,OUT049,1840.2379099999998
NCQ29,OUT010,478.57704
FDZ01,OUT019,302.00688
FDW27,OUT035,2987.57776
FDD17,OUT018,2948.36214
FDW39,OUT013,2393.7174500000006
DRH59,OUT045,1525.84715
FDS52,OUT013,1815.1039599999997
FDU40,OUT027,4383.66049
NCF54,OUT013,2816.63361
FDH46,OUT045,1699.9538499999999
NCP14,OUT049,2512.46288
FDH50,OUT049,2535.6993
DRF15,OUT010,292.15304
FDV27,OUT027,3489.7241200000003
NCJ06,OUT049,2403.90419
FDN02,OUT018,2112.45024
FDQ51,OUT049,2537.23064
FDQ07,OUT017,3487.06092
FDS45,OUT049,1917.57058
NCJ06,OUT045,2007.58674
FDD36,OUT035,1918.2696700000001
FDY25,OUT045,3334.7258799999995
FDU52,OUT046,2503.57445
DRK47,OUT017,2939.1741
NCL30,OUT017,2332.4638499999996
FDN22,OUT035,2873.89241
NCF30,OUT027,3667.25969
FDK03,OUT035,2639.99687
FDT45,OUT017,1282.89673
NCC54,OUT027,4753.0796199999995
FDP08,OUT018,2364.5887000000002
FDU44,OUT046,2592.75836
DRG39,OUT035,1935.3141499999997
FDU32,OUT049,1681.5777699999999
FDY27,OUT049,2772.52436
NCP54,OUT013,2175.1020200000003
NCZ41,OUT049,2220.7093199999995
DRL49,OUT013,2714.99924
FDI05,OUT018,1486.53166
FDY56,OUT045,3353.3349899999994
DRC13,OUT013,2037.1482600000004
NCV29,OUT017,2622.18672
FDR24,OUT049,1995.70221
FDZ34,OUT018,2436.99445
FDP37,OUT035,2362.8243299999995
FDX08,OUT027,5237.94847
FDS57,OUT045,2546.75158
NCG18,OUT049,2491.59005
FDK25,OUT018,1804.2514199999998
FDH53,OUT049,2098.8679199999997
DRI59,OUT018,2145.5737899999995
FDA52,OUT046,2589.9287099999997
FDT20,OUT010,275.44146
FDE36,OUT019,377.80821000000003
FDI24,OUT017,2349.2753000000002
FDB28,OUT018,2638.5654
FDV11,OUT017,2547.7835699999996
FDP01,OUT046,2727.05022
FDD34,OUT027,3934.1456200000002
FDJ50,OUT027,3124.5661099999998
FDZ44,OUT013,2015.2101500000003
DRO59,OUT035,2025.4967599999995
DRB48,OUT045,1143.01215
FDR21,OUT018,2670.8567
NCE42,OUT010,432.83657999999997
FDO23,OUT046,2483.8334800000002
NCE30,OUT018,2769.59484
FDQ22,OUT035,1117.9447800000003
FDY01,OUT045,2183.6575500000004
FDS08,OUT017,2463.95935
FDG28,OUT018,2131.8916
FDQ51,OUT018,1972.4325000000003
FDB05,OUT017,3432.232290000001
FDO56,OUT049,2995.7671
FDE02,OUT018,1562.4661500000002
FDN45,OUT017,3197.97056
FDS09,OUT013,1585.70257
NCA54,OUT018,2492.0894
FDP09,OUT010,488.53075000000007
FDC53,OUT045,1495.51996
