user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
67347,1,22.0,na,,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Leo,0,0,1.0,0.0,0
3885,0,48.0,na,511.0,0,0,0,0,0,187,0,0,11,1,0,0,1,0,0,Monthly,0,0,0,0,Taurus,0,0,56.0,1.87,1
40538,1,35.0,O,728.0,0,0,0,0,0,36,0,0,15,1,0,0,0,1,0,Monthly,0,0,0,0,Aries,0,0,12.0,2.0,1
1011,0,46.0,R,494.0,7,2,57,7,0,168,0,0,24,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,33.0,1.1,0
38492,0,34.0,R,490.0,0,0,0,0,1,222,9,0,24,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,63.0,2.1,0
68171,0,23.0,na,521.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,1.0,0.06,0
19878,0,28.0,R,582.0,17,1,82,17,0,233,0,0,18,1,1,1,0,1,0,na,0,0,0,0,Libra,0,0,58.0,1.93,0
35332,1,29.0,na,,0,0,0,0,0,106,0,0,5,1,0,0,1,0,0,Weekly,0,0,0,0,Scorpio,0,0,17.0,0.5700000000000001,0
8255,0,43.0,R,540.0,3,0,81,3,0,225,0,0,4,1,1,1,1,1,2,na,0,0,0,0,Aries,0,0,59.0,1.97,1
51642,0,44.0,na,501.0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,0,0,3.0,0.1,0
17451,0,33.0,R,597.0,0,0,140,0,0,303,0,0,20,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,1,0,67.0,2.23,0
46324,0,18.0,na,611.0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,,0.0,0
60460,1,22.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Aries,0,0,,0.0,0
15712,1,60.0,R,529.0,0,0,0,0,0,44,0,0,18,1,1,1,1,0,0,Monthly,0,0,0,0,Taurus,0,0,19.0,0.63,1
36751,0,39.0,na,529.0,24,1,69,24,0,218,0,0,29,1,1,1,0,1,0,na,0,0,0,0,Sagittarius,0,0,56.0,1.87,1
21558,1,35.0,na,618.0,0,0,0,0,0,66,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,1,0,19.0,0.63,0
63715,0,43.0,na,,2,1,10,2,0,21,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,4.0,0.0,0
41909,0,32.0,na,466.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,na,0,0,0,0,Libra,0,0,,0.0,0
38825,0,26.0,na,536.0,0,0,36,0,0,99,0,0,3,1,1,1,0,1,0,na,0,0,0,0,Pisces,0,0,37.0,1.23,0
7871,1,26.0,R,500.0,1,0,27,1,0,133,0,0,3,1,0,0,0,1,3,Weekly,0,0,0,0,Leo,0,0,40.0,1.33,0
22333,0,24.0,R,679.0,3,1,82,3,0,177,0,0,13,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,56.0,1.87,0
37,1,31.0,R,,0,0,0,0,0,115,0,0,5,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,35.0,1.17,0
31916,1,25.0,na,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,,0.0,0
19314,1,38.0,na,524.0,0,0,0,0,0,17,0,0,1,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,12.0,0.4,1
63152,0,32.0,na,,3,0,7,3,0,10,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,4.0,0.5700000000000001,0
17599,0,33.0,na,,0,0,128,0,0,269,0,0,4,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,59.0,1.97,0
14311,0,32.0,R,500.0,24,6,36,24,0,116,0,0,21,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,29.0,0.97,1
67046,0,47.0,na,522.0,0,0,1,0,0,4,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,,0.0,1
24305,0,26.0,R,556.0,1,0,56,1,0,217,0,0,15,1,0,0,0,1,2,na,0,0,0,0,Sagittarius,0,0,54.0,1.8,1
68070,1,26.0,na,,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,1.0,0.0,1
42987,0,26.0,na,559.0,0,0,31,0,0,50,0,0,5,1,0,0,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,20.0,0.67,1
26916,0,33.0,na,556.0,0,0,32,0,0,60,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,24.0,0.8,1
7011,1,35.0,na,413.0,0,0,102,0,0,136,0,0,8,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,35.0,1.17,1
67088,1,22.0,na,459.0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,,0.0,0
7686,1,27.0,R,528.0,0,0,10,0,0,91,0,0,7,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,24.0,0.8,0
14965,0,27.0,na,544.0,0,0,7,0,0,11,0,0,1,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,6.0,0.2,0
13910,0,24.0,R,522.0,2,2,50,2,0,100,0,0,4,1,0,0,0,1,0,na,0,0,0,0,Sagittarius,0,0,31.0,1.03,1
33946,0,21.0,na,545.0,0,0,7,0,0,11,0,0,1,1,0,0,0,1,0,Monthly,0,0,0,0,Sagittarius,0,0,4.0,1.0,1
23701,0,25.0,R,485.0,2,0,22,2,0,15,0,0,2,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,1,0,8.0,0.27,1
15150,1,26.0,R,545.0,10,1,14,10,0,40,0,0,1,1,0,0,0,1,0,na,0,0,0,0,Gemini,0,0,12.0,0.4,0
8987,0,27.0,R,481.0,0,0,1,0,0,83,0,0,1,1,0,0,0,1,0,Weekly,0,0,0,0,Pisces,1,0,33.0,1.1,1
56648,0,42.0,na,,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,,0.0,0
67137,0,22.0,na,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,,0.0,0
41826,1,22.0,R,440.0,9,2,107,9,0,170,0,0,32,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,39.0,1.3,1
67621,1,36.0,na,,0,0,0,0,2,23,0,0,2,1,1,1,1,0,2,Weekly,0,0,0,0,Cancer,0,0,21.0,0.7,0
5250,0,52.0,na,543.0,0,0,40,0,0,70,0,0,6,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Aries,0,0,28.0,0.93,0
53449,1,27.0,na,,0,0,12,0,0,26,0,0,2,1,1,1,1,0,0,Weekly,0,0,0,0,Gemini,1,0,11.0,0.4400000000000001,0
27912,0,25.0,na,413.0,0,0,25,0,0,41,0,0,4,1,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,12.0,0.4,1
19625,0,32.0,na,441.0,0,0,23,0,0,50,0,0,1,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,11.0,0.37,0
30614,0,30.0,na,461.0,41,0,27,41,0,207,0,0,4,1,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,56.0,1.87,1
18574,1,23.0,R,636.0,6,4,59,6,0,159,0,0,11,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,13.0,1.86,1
26736,0,26.0,R,607.0,5,1,93,5,0,252,0,0,11,1,0,0,0,1,0,na,0,0,0,0,Aries,0,0,65.0,2.17,1
39733,1,29.0,R,,0,0,0,0,0,177,1,0,28,1,0,0,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,51.0,1.7,0
477,0,36.0,na,,0,0,2,0,0,17,0,0,2,1,0,0,0,1,2,na,0,0,0,0,Capricorn,0,0,12.0,0.4,0
49664,1,26.0,R,545.0,3,0,38,3,0,84,0,0,7,1,0,0,0,1,0,na,0,0,0,0,Virgo,0,0,16.0,1.0,1
21189,0,20.0,R,555.0,1,0,72,1,0,140,0,0,18,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,31.0,1.03,1
43289,0,32.0,na,545.0,6,0,24,6,0,45,0,0,9,1,1,1,0,1,0,na,0,0,0,0,Aquarius,0,0,14.0,0.58,0
30329,1,45.0,R,552.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,3.0,0.1,0
6111,0,25.0,O,614.0,0,0,67,0,0,250,0,0,10,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,1,0,61.0,2.03,0
35351,0,35.0,R,528.0,15,0,3,15,1,300,0,0,34,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,65.0,2.17,0
7050,0,28.0,O,,0,0,90,0,0,195,0,0,2,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Aries,0,0,55.0,1.83,1
11691,1,22.0,na,555.0,0,0,0,0,0,128,0,0,4,1,1,1,1,0,2,Bi-Weekly,0,0,1,0,Aries,0,0,47.0,1.5699999999999998,0
38853,0,28.0,na,527.0,59,0,63,55,0,255,0,0,21,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,67.0,2.23,0
55927,0,20.0,na,501.0,0,0,5,0,0,4,0,0,0,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Taurus,0,0,3.0,0.27,1
34187,1,30.0,R,580.0,0,0,34,0,0,59,0,0,2,1,0,0,0,1,2,Weekly,0,0,0,0,Pisces,0,0,19.0,0.63,1
45320,0,40.0,O,453.0,8,0,52,8,0,294,0,0,38,1,1,1,1,0,0,na,0,0,0,0,Sagittarius,1,0,67.0,2.23,0
32233,0,31.0,O,,0,0,0,0,0,104,0,0,5,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,42.0,1.4,0
30417,1,27.0,O,522.0,1,0,13,1,0,27,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,5.0,0.16999999999999998,1
15592,1,36.0,R,587.0,0,0,0,0,0,235,0,1,9,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Sagittarius,0,0,64.0,2.13,0
68714,0,36.0,R,590.0,0,0,8,0,0,16,0,0,0,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,Cancer,0,0,4.0,0.13,0
51721,1,30.0,R,437.0,2,0,62,2,0,99,0,0,16,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,19.0,0.63,1
3801,0,42.0,R,512.0,2,0,47,2,0,280,0,0,24,1,1,1,1,0,2,na,0,0,0,0,Virgo,1,0,56.0,1.87,1
65867,0,72.0,na,554.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Leo,0,0,,0.0,0
50736,1,23.0,na,463.0,0,0,12,0,0,11,0,0,1,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,12.0,0.4,1
35050,1,39.0,R,463.0,8,3,76,8,0,163,0,0,12,1,0,0,1,0,0,Weekly,0,0,0,0,Pisces,0,0,16.0,0.53,1
3897,1,38.0,R,472.0,0,0,0,0,0,20,0,0,9,1,1,1,1,0,0,Monthly,0,0,0,0,Aries,0,0,23.0,0.77,0
34000,1,38.0,na,550.0,0,0,0,0,0,22,0,0,1,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,17.0,0.5700000000000001,0
4993,0,37.0,R,587.0,0,0,0,0,1,236,4,1,19,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,63.0,2.1,0
51830,1,26.0,na,,0,0,0,0,0,38,0,0,5,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,14.0,0.47,0
24606,0,20.0,na,655.0,0,0,47,0,0,148,0,0,11,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,34.0,1.13,0
47068,1,56.0,na,511.0,1,0,37,1,0,81,0,0,5,1,1,1,1,0,2,Weekly,0,0,0,0,Aries,1,0,16.0,0.53,1
33385,1,29.0,na,,11,2,99,11,0,191,0,0,11,1,1,1,1,0,2,na,0,0,0,0,Aquarius,0,0,31.0,1.03,0
13611,0,19.0,R,503.0,1,0,102,1,0,219,0,0,9,1,1,1,1,1,5,na,0,0,0,0,na,0,0,58.0,1.93,1
59843,1,48.0,na,517.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Aquarius,1,0,,0.0,0
41052,1,39.0,na,490.0,2,0,1,2,0,82,0,0,9,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,14.0,0.47,1
45195,1,54.0,O,,0,0,0,0,1,11,0,0,7,1,1,1,1,0,2,Monthly,0,0,0,0,Virgo,0,0,4.0,2.0,0
45396,0,39.0,na,611.0,0,0,7,0,0,36,0,0,9,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,22.0,0.73,0
40888,0,24.0,na,498.0,0,0,35,0,0,57,0,0,2,1,0,0,1,0,3,Bi-Weekly,0,0,0,0,Virgo,1,0,25.0,0.83,0
14403,1,39.0,na,535.0,0,0,0,0,0,201,0,0,5,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,75.0,2.5,0
22597,0,29.0,R,601.0,7,2,52,7,0,71,0,0,12,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,na,1,0,22.0,0.73,0
42157,0,21.0,na,622.0,0,0,0,0,0,54,0,0,5,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,15.0,0.5,0
48917,1,48.0,R,,0,0,0,0,0,82,0,0,6,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,39.0,1.3,1
31150,1,32.0,R,525.0,0,0,0,0,0,134,0,0,4,1,1,1,0,1,0,na,0,0,0,0,Leo,0,0,41.0,1.37,0
17918,1,41.0,R,554.0,0,0,0,0,0,55,0,0,9,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,Libra,0,0,24.0,0.8,0
20243,1,42.0,R,550.0,21,3,31,21,0,60,0,0,15,1,1,1,1,1,2,Weekly,0,0,0,0,Capricorn,0,0,24.0,0.8,1
