ID,year,age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
8684,2005,49,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.626186335,277.6014175
229379,2006,43,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.431363764,84.04595765
86064,2004,34,1. Male,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.176091259,65.11085372
378472,2008,57,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.755874856,116.2653241
157244,2003,18,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.255272505,70.47601965
82694,2004,55,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.276461804,195.676308
7690,2005,51,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.619093331,101.4020523
377879,2008,33,1. Male,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.397940009,81.28325328
9747,2005,34,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.716003344,111.7208494
233301,2006,36,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.498475968,89.88004678
157123,2003,56,1. Male,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.477121255,87.98103279
230823,2006,70,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.477121255,87.98103279
80406,2004,25,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.643452676,103.9024706
228851,2006,32,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.662757832,105.9278108
153810,2003,27,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.193124598,66.22940829
81383,2004,28,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.544068044,34.60741773
303642,2007,27,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.698970004,109.8339856
87492,2004,43,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.812913357,45.28216999
8692,2005,50,1. Male,1. Never Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.301029996,73.77574327
86929,2004,39,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.397940009,81.28325328
380872,2008,52,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.041392685,154.685293
449480,2009,35,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.590617833,267.9010869
305136,2007,57,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.176091259,176.9896505
227963,2006,25,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.193124598,66.22940829
232863,2006,33,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.755874856,116.2653241
8621,2005,57,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.301029996,200.5432623
379668,2008,71,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.62324929,101.8243521
84595,2004,43,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.606885241,272.2947832
154634,2003,23,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.556302501,35.03342132
450864,2009,30,1. Male,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.740362689,114.4757133
84377,2004,22,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.397940009,81.28325328
234086,2006,59,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.301029996,200.5432623
154482,2003,28,1. Male,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5,148.4131591
85916,2004,61,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
161065,2003,34,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.716003344,111.7208494
12003,2005,43,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.029383778,152.838801
228071,2006,54,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.763427994,117.1468169
13479,2005,69,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.353339095,77.7376033
81494,2004,41,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.477121255,87.98103279
159076,2003,48,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.832508913,125.5254984
159207,2003,49,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.814913181,123.336104
447501,2009,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.064457989,158.2946214
153767,2003,37,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.301029996,200.5432623
81071,2004,55,1. Male,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
376442,2008,21,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.255272505,70.47601965
87299,2004,58,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.544068044,94.07271475
228621,2006,31,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.397940009,81.28325328
232494,2006,25,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.397940009,81.28325328
228400,2006,32,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.612783857,100.7642728
451860,2009,40,1. Male,1. Never Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.544068044,94.07271475
157058,2003,44,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.602059991,99.6894637
159583,2003,60,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.591980114,268.266292
233759,2006,23,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.397940009,81.28325328
159224,2003,63,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.73239376,113.5670896
374859,2008,44,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.477121255,87.98103279
11710,2005,47,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.857332496,128.6804882
86298,2004,61,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.670245853,106.7239776
453021,2009,55,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.190331698,66.04469423
161431,2003,24,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,3.942008053,51.52195631
305888,2007,42,1. Male,3. Widowed,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.447158031,85.38394038
232199,2006,25,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.342422681,76.89360252
86568,2004,34,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.505149978,90.48191336
447500,2009,53,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.220631019,68.07642829
452506,2009,53,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.875061263,130.9821774
450908,2009,70,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.851258349,127.901233
82573,2004,47,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.876910311,131.2245938
159196,2003,46,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
156110,2003,33,1. Male,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.342422681,76.89360252
14148,2005,34,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.681241237,107.9039239
232000,2006,22,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.397940009,81.28325328
453486,2009,74,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
156065,2003,40,1. Male,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.591064607,98.59934386
229079,2006,45,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.301029996,200.5432623
450905,2009,43,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.053078443,156.5035109
10660,2005,33,1. Male,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.976349979,144.944365
449456,2009,62,1. Male,2. Married,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125,118.8843593
374660,2008,37,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.799340549,121.4303138
87463,2004,54,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.716003344,111.7208494
9273,2005,34,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.230448921,68.74808773
377517,2008,50,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.740362689,114.4757133
231592,2006,46,1. Male,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.556302501,95.23071257
303825,2007,41,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.477121255,87.98103279
156310,2003,63,1. Male,4. Divorced,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.163161375,64.27439722
303376,2007,38,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.857332496,128.6804882
230586,2006,35,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.740362689,114.4757133
450109,2009,29,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.72427587,112.6488963
379991,2008,66,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.397940009,81.28325328
87291,2004,37,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.329357194,75.89548482
228517,2006,39,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.719720651,112.136923
160971,2003,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.447158031,85.38394038
307464,2007,51,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.544068044,94.07271475
449246,2009,55,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.740362689,114.4757133
233043,2006,51,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.176091259,176.9896505
377184,2008,38,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.623217234,276.7784133
8033,2005,49,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.62324929,101.8243521
233687,2006,42,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.51851394,91.69922611
447751,2009,43,1. Male,5. Separated,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.462397998,86.69515483
230398,2006,38,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.093421685,162.9464607
378429,2008,59,1. Male,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.936010796,139.2137881
447412,2009,57,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.556302501,95.23071257
13924,2005,25,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.204119983,66.96164432
87630,2004,49,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.87667961,131.1943236
84600,2004,41,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.505149978,90.48191336
451987,2009,38,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.740362689,114.4757133
160246,2003,61,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.371067862,79.1280845
307755,2007,49,1. Male,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.650064561,104.5917379
375007,2008,52,1. Male,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.886490725,132.4878211
303430,2007,43,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.954242509,141.7751723
379330,2008,60,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.812913357,123.0896998
8339,2005,46,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.903089987,134.7053751
83190,2004,21,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.021189299,55.76739051
452580,2009,61,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.672097858,106.9218141
302701,2007,32,1. Male,2. Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125,118.8843593
83222,2004,58,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.477121255,87.98103279
159871,2003,35,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.48784512,88.92960664
82108,2004,26,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.397940009,81.28325328
229714,2006,32,1. Male,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.544068044,94.07271475
159048,2003,37,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.672097858,106.9218141
302868,2007,22,1. Male,1. Never Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.079181246,59.09706408
10499,2005,51,1. Male,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.176091259,65.11085372
84127,2004,44,1. Male,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.792391689,120.5894365
11661,2005,35,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.06069784,157.7005277
86282,2004,60,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.86332286,129.4536446
305327,2007,40,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.176091259,176.9896505
81655,2004,35,1. Male,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.079181246,59.09706408
303953,2007,35,1. Male,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.544068044,94.07271475
374752,2008,47,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.903089987,134.7053751
159109,2003,43,1. Male,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.397940009,81.28325328
159285,2003,33,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.397940009,81.28325328
159909,2003,60,1. Male,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.033423755,153.4575153
378138,2008,38,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.919078092,136.8763676
9786,2005,53,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.318063335,75.04315402
86191,2004,55,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.86923172,130.2208324
154759,2003,57,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.653212514,104.9215065
12122,2005,64,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,3.903089987,49.55533812
306309,2007,43,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.819543936,123.9085676
377137,2008,35,1. Male,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.812913357,123.0896998
375944,2008,54,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.3586961,78.15516141
304068,2007,45,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.301029996,73.77574327
156557,2003,58,1. Male,4. Divorced,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.929418926,138.2991269
306779,2007,48,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.84509804,127.1157438
161021,2003,46,1. Male,2. Married,3. Asian,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.230448921,68.74808773
85966,2004,46,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.435462121,84.39111475
453692,2009,55,1. Male,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.447158031,85.38394038
233313,2006,51,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.857332496,128.6804882
9681,2005,49,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.255272505,70.47601965
379875,2008,34,1. Male,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.342422681,76.89360252
305250,2007,53,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5,148.4131591
84642,2004,40,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5,148.4131591
451306,2009,50,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.170261715,175.9608831
228212,2006,37,1. Male,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.591064607,98.59934386
157989,2003,39,1. Male,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.977723605,145.1436012
88028,2004,52,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.602059991,99.6894637
155697,2003,50,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.949390007,141.0888744
234523,2006,48,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.812913357,123.0896998
233149,2006,47,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.86332286,129.4536446
13626,2005,27,1. Male,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.716003344,111.7208494
234640,2006,39,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.643452676,103.9024706
453255,2009,44,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.77815125,118.8843593
154195,2003,37,1. Male,2. Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.021189299,151.5914842
232628,2006,52,1. Male,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.62324929,101.8243521
85539,2004,26,1. Male,1. Never Married,3. Asian,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.602059991,99.6894637
377464,2008,39,1. Male,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.602059991,99.6894637
230582,2006,25,1. Male,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.602059991,99.6894637
